Name,Category,Latitude,Longitude
Kopi Panorama,Restoran,-6.8977547,106.8215124
Rumah Makan Padang Aghai Pinang,Restoran,-6.9173841,106.9363089
Rumah makan uwo,Restoran,-6.9345808,106.9319467
Rumah Makan Ibu Cicoh,Restoran,-6.9084343,106.9363998
Rumah Makan,Restoran,-6.9074832,106.895589
Rumah Makan Padang Talago Minang Cibatu,Brunch,-6.908418,106.8829544
RUMAH MAKAN T.M,Restoran,-6.929919,106.9327053
Warung Makan Anugrah,Restoran,-6.9632779,106.9432363
Rumah Makan Ateu Cisarua 10,Restoran,-6.9045649,106.9377268
Rumah Makan Dapur Kita,Restoran,-6.9191144,106.9577429
Rumah Makan Raos,Indonesia,-6.9564396,106.9063094
Rumah makan mang iyan sukabumi,Indonesia,-6.9169504,106.9307038
Rumah Makan Putri Caniago Masakan Padang,Padang,-6.9507382,106.9224603
Rumah Makan Seafood Alam Laut,Hidangan Laut,-6.9179747,106.9346064
Rumah Makan Minang Surya 2,Makanan Siap Saji,-6.9517237,106.9264101
Rumah Makan Pak Uca,Kafe,-6.9207629,106.9379283
Rumah makan padang ampero saiyo,Padang,-6.9312036,106.9294079
Rumah Makan Cibadak Raya,Restoran,-6.9541173,106.7683981
RESTO RUMAH MAKAN LESEHAN ABAH WANDA,Restoran,-6.9487911,106.9179295
Rumah Makan Bintang Minang,Restoran,-6.9285295,106.8774497
Rumah Makan Elvita Minang,Padang,-6.917564,106.9644334
Rumah makan stopan Bu imas,Rumah Makan,-6.922216,106.9308725
Rumah Makan Tunas Jaya,Padang,-6.9224023,106.9294195
McDonald's Sukabumi indah plaza,Makanan Siap Saji,-6.9201147,106.930158
Rumah Makan Pelangi,Restoran,-6.90547,106.8685596
Rumah Makan Lima Bersaudara,Restoran,-6.9063316,106.7791501
Rumah makan sagala aya,Brunch,-6.9433886,106.9520121
Rumah Makan Padang Mutiara,Restoran,-6.9183315,106.9258099
Rumah Makan Neng Geulis,Restoran,-6.9255367,106.9264254
Rumah makan-RUMPUN PADI,Restoran,-6.9232744,106.9219404
Rumah Makan Nasi Padang Upik,Rumah Makan,-6.9111038,106.8991151
Rumah Makan Obat Lapar,Ikan Bakar,-6.9025027,106.8830161
Rumah Makan Pondok Selera,Padang,-6.8958028,106.8131833
Rumah Makan Soto Hj Maya Dan Masakan Sunda,Makanan Siap Saji,-6.9226136,106.9269587
Rumah Makan Ibu Muslich,Restoran,-6.9207666,106.935384
Rumah makan sawargi H.ekih,Rumah Makan,-6.9365802,106.9244266
Rumah Makan Atira Masakan Padang,Padang,-6.8920004,106.7820257
Rumah Makan Murah Saee (Masakan Padang),Brunch,-6.9341991,106.845454
Universitas Muhammadiyah Sukabumi,Universitas Swasta,-6.9187572,106.9340928
UNIVERSITAS LINGGABUANA PGRI SUKABUMI,Perguruan Tinggi,-6.9399803,106.9268549
Institut Manajemen Wiyata Indonesia,Perguruan Tinggi,-6.9192488,106.925441
Nusa Putra University,Perguruan Tinggi,-6.9051363,106.8734604
STH PASUNDAN SUKABUMI,Universitas,-6.9236321,106.9230968
Institut Madani Nusantara (IMN),Universitas,-6.9460767,106.9224582
STKIP Bina Mutiara Sukabumi,Perguruan Tinggi,-6.9215668,106.9585255
Sekolah Tinggi Agama Islam Syamsul Ulum,Perguruan Tinggi,-6.9166573,106.9172014
Universitas Bina Sarana Informatika (UBSI) Kampus Sukabumi,Perguruan Tinggi,-6.9155138,106.9046837
Universitas Bina Sarana Informatika Sukabumi Kampus B,Perguruan Tinggi,-6.918061,106.926295
Politeknik Sukabumi,Politeknik,-6.9197818,106.9127709
STISIP Widyapuri Mandiri Sukabumi,Universitas,-6.9095318,106.8957871
UNIVERSITAS LINGGABUANA PGRI SUKABUMI KAMPUS 2,Perguruan Tinggi,-6.9084361,106.9181223
Citra Buana Indonesia,Universitas,-6.9173665,106.9102308
STAI AL-ANDINA SUKABUMI,Perguruan Tinggi,-6.9014982,106.8382278
STIKes Sukabumi,Sekolah Perawat,-6.9079623,106.9208512
STIE PASIM SUKABUMI,Perguruan Tinggi,-6.948215,106.922833
Poltekes Yapkesbi Sukabumi,Perguruan Tinggi,-6.9079079,106.9481469
Politeknik Bbc Sukabumi,Perguruan Tinggi,-6.9485555,106.9232019
STMIK PASIM AL-FATH SUKABUMI,Perguruan Tinggi,-6.9237034,106.9341089
STIBA AR-RAAYAH SUKABUMI,Universitas,-6.9309452,106.7733571
SALUT CENDEKIA SUKABUMI,Perguruan Tinggi,-6.9084277,106.8740165
STIE PASIM,Perguruan Tinggi,-6.9147308,106.9368303
Kampus SV IPB Sukabumi,Universitas,-6.9418665,106.9553261
Jalan PGRI Sukabumi,Perguruan Tinggi,-6.9216146,106.9294378
STAI Al-Masthuriyah,Perguruan Tinggi,-6.905583,106.870346
Politeknik BBC Sukabumi Cabang 2 (Kampus Yannur),Perguruan Tinggi,-6.9102651,106.8542792
SALUT IPM SUKABUMI,Perguruan Tinggi,-6.9200384,106.9158024
Akademi Farmasi Persada Sukabumi,Perguruan Tinggi,-6.9080314,106.9527375
INSTITUT AGAMA ISLAM SUKABUMI,Perguruan Tinggi,-6.8866858,106.9157202
Asluku,Perguruan Tinggi,-6.8996616,106.8907013
Pintu masuk ummi,Universitas,-6.9184981,106.934042
Sekolah Tinggi Komputer & Pariwisata CBI,Sekolah perhotelan dan pariwisata,-6.9178543,106.9119539
SUKAROBOT ACADEMY,Pusat Pendidikan,-6.9227299,106.9332632
Setukpa Polri (Sekolah Pembentukan Perwira),Perguruan Tinggi,-6.9113679,106.9243439
RW 06 Kp.Cipancur,Perguruan tinggi negeri,-6.9119061,106.8746931
Rayon FTD universitas nusa putra,Perguruan Tinggi,-6.908521,106.8892793
STIE PGRl,Perguruan Tinggi,-6.9421729,106.9252209
SMA Negeri 1 Kota Sukabumi SMANSA,Sekolah Menengah Umum,-6.9390995,106.9309908
SMKS PGRI 1 KOTA SUKABUMI,Sekolah Menengah Kejuruan,-6.9362802,106.9264944
SMK Pelita YNH Kota Sukabumi,Sekolah Menengah Kejuruan,-6.9268079,106.9356718
SMKN 1 Kota Sukabumi,Sekolah menengah kejuruan,-6.9053523,106.9302106
SMAN 4 Kota Sukabumi,Sekolah Menengah Atas,-6.9195659,106.9313747
SMAN 2 Sukabumi,Sekolah Menengah Atas,-6.9055565,106.9176367
SMAN 3 Sukabumi,Sekolah Menengah Atas,-6.920827,106.9446041
Perguruan Tamansiswa Sukabumi,Institusi Pendidikan,-6.918607,106.9352116
SMK Persada Kota Sukabumi,Sekolah Menengah Kejuruan,-6.905568,106.9528994
SMP NEGERI 1 Kota Sukabumi,Sekolah Menengah Pertama,-6.9196957,106.931383
MAN 1 Kota Sukabumi,Sekolah Agama,-6.9427089,106.9316378
SMK Ulul Albab kota Sukabumi,Sekolah Menengah Kejuruan,-6.9013387,106.9140974
SMK Abdi Bangsa Kota Sukabumi,Sekolah Menengah Umum,-6.9267079,106.9160686
SMA Mardi Yuana Sukabumi,Sekolah Menengah Atas,-6.9208575,106.9321937
Sekolah Alam Indonesia Sukabumi,Sekolah Waldorf,-6.9000304,106.8945872
SMKN 2 Sukabumi,Sekolah Menengah Kejuruan,-6.9348919,106.9258822
SMA Islam Al Azhar 21 Sukabumi,Sekolah menengah,-6.9119026,106.9519737
Sekolah Menengah Atas Pesantren Unggul Al Bayan,Sekolah Menengah Atas,-6.9001288,106.7838226
SD IT Adzkia 1 Sukabumi,Sekolah pendidikan umum,-6.9078133,106.8980854
SD ISLAM AL AZHAR 7 SUKABUMI,Sekolah Dasar,-6.9131055,106.9305928
Yayasan Ummi Kulsum Sukabumi,Kelompok Bermain,-6.933493,106.9348172
SMA INTERNASIONAL ISTANBUL AL FATH,Sekolah Menengah Umum,-6.8942854,106.7884498
STISIP Widyapuri Mandiri Sukabumi,Sekolah,-6.9095318,106.8957871
MAN 2 Sukabumi,Sekolah Menengah Umum,-6.920739,106.9090452
SMAN 5 KOTA SUKABUMI,Sekolah menengah,-6.9452161,106.9516705
SMA Pesantren Terpadu Hayatan Thayyibah Sukabumi,Sekolah menengah,-6.9043372,106.9176426
SMKN 3 Negeri kota sukabumi,Sekolah Menengah Khusus Wanita,-6.9050687,106.9302572
STIBA AR-RAAYAH SUKABUMI,Sekolah,-6.9309452,106.7733571
SMK Bina Mandiri Sukabumi,Sekolah Menengah Kejuruan,-6.9042305,106.8623904
SDIT Andalusia Kota Sukabumi,Sekolah Dasar,-6.9060063,106.915029
Pondok Pesantren Sunanulhuda,Yayasan,-6.9034328,106.8681064
SMA PGRI 1 KOTA SUKABUMI,Sekolah menengah,-6.9371428,106.9307175
SMPN 11 Sukabumi,Sekolah Menengah Pertama,-6.9227997,106.9214102
SMP Negeri 8 Kota Sukabumi,Sekolah menengah,-6.950105,106.9277292
Gerbang SMA1 Sukabumi,Sekolah Menengah Atas,-6.9390346,106.9309559
SMAN 1 Cibadak,Sekolah Menengah Atas,-6.8963378,106.7802553
MIN Kota Sukabumi,Sekolah Dasar,-6.9186011,106.9201485
SDK BPK Penabur Sukabumi,Sekolah Dasar,-6.9210465,106.9311476
Sekolah Vokasi IPB Sukabumi,Sekolah Menengah Kejuruan,-6.9423897,106.9535394
SMAK BPK PENABUR SUKABUMI,Sekolah menengah,-6.9151287,106.9323478
SMPIT ANDALUSIA Kota Sukabumi,Sekolah Menengah Pertama,-6.9061842,106.9145883
SLB B Budi Nurani Kota Sukabumi,Sekolah Pendidikan Khusus,-6.9474728,106.9232178
SMP Negeri 6 Sukabumi,Sekolah Menengah Pertama,-6.9368027,106.9362466
MTsN KOTA SUKABUMI,Sekolah Menengah Pertama,-6.9424779,106.931145
RA ALKAUTSAR kota Sukabumi,Taman Kanak-kanak,-6.9279635,106.9361774
Madania Global Islamic School,Sekolah menengah,-6.9456815,106.9355833
SMAN 1 Cisaat,Sekolah Menengah Atas,-6.9250622,106.8799802
Sekolah Tahfizh Plus SD Khoiru Ummah Sukabumi,Sekolah Dasar,-6.931947,106.934053
MTs. Muhammadiyah 1 kota sukabumi,Sekolah Menengah Pertama,-6.9351203,106.9254104
SMP Negeri 2 Kota Sukabumi,Sekolah Menengah Pertama,-6.9186735,106.9314622
SMA Doa Bangsa Cibadak,Sekolah Menengah Atas,-6.8980221,106.8213648
SMK Teknologi Plus Padjadjaran Kota Sukabumi,Sekolah Menengah Umum,-6.9165779,106.9038302
Yuwati Bhakti,Sekolah Dasar,-6.9165922,106.931039
Yayasan Baitul Hikmah Sukabumi,Sekolah,-6.9184255,106.7712231
SMP Islam Al Azhar 7 Kota Sukabumi,Sekolah Menengah Pertama,-6.9176681,106.9077333
SDIT ADZKIA 2 SUKABUMI,Sekolah pendidikan umum,-6.926356,106.9460849
Sman 4 kota sukabumi,Sekolah Menengah Umum,-6.9203866,106.9309622
Kb / Tk Pasim Ar Rayyan,Sekolah Dasar,-6.9148571,106.9371095
TK Islam Al Azhar 7 Sukabumi,Taman Kanak-kanak,-6.9182192,106.9077639
Pondok Pesantren Modern Al-Firdaus,Sekolah pendidikan umum,-6.9233285,106.9579829
SMP Negeri 7 Kota Sukabumi,Sekolah Menengah Pertama,-6.9279432,106.9144804
MTs / MA Persis 68 Warudoyong Kota Sukabumi,Sekolah Menengah Pertama,-6.915636,106.905535
...,Sekolah Dasar,-6.9204072,106.9327985
SLB-A Budi Nurani Kota Sukabumi,Sekolah Tunarungu,-6.948459,106.9224925
SMP Negeri 3 Sukabumi,Sekolah Menengah Pertama,-6.9440386,106.9201753
Pondok Pesantren Ulul Albab Kota Sukabumi,Sekolah asrama,-6.9010293,106.9145214
MIS Hidayatul Athfal Kota Sukabumi,Sekolah Dasar,-6.9339799,106.9351998
SMA Al Masthuriyah,Sekolah Menengah Umum,-6.9053816,106.8704597
SDN Dewi Sartika CBM,Sekolah Dasar,-6.9170692,106.931445
Sekolah Khusus Insan Pelangi Mandiri Supervisi oleh EDUfa,Psikolog Anak,-6.916172,106.917768
SMP Negeri 12 Sukabumi,Sekolah Menengah Pertama,-6.9509108,106.9464638
SMP IT ADZKIA 1 SUKABUMI,Sekolah Menengah Pertama,-6.9080265,106.8989992
SDN Pajagalan Kota Sukabumi,Sekolah Dasar,-6.9271291,106.9229372
SMA NEGER 2 KARAMAT SUKABUMI,Sekolah Menengah Umum,-6.9036008,106.9189238
SMP Negeri 4 Kota Sukabumi,Sekolah Menengah Umum,-6.9025164,106.9253387
SMP PELITA YNH KOTA SUKABUMI,Sekolah menengah,-6.9269321,106.9355216
SMP Negeri 15,Sekolah Menengah Pertama,-6.9197005,106.9445543
MTs YASTI 1,Sekolah Menengah Pertama,-6.9117528,106.8868604
SDN Kebonjati kota sukabumi,Sekolah Dasar,-6.920078,106.9356109
SMA ISLAM TERPADU AL-FATH,Sekolah Menengah Umum,-6.9075302,106.9127287
MTs 2 Kota Sukabumi,Sekolah Menengah Pertama,-6.9433193,106.9313293
SD SMP SMA Advent Sukabumi,Sekolah pendidikan umum,-6.9188404,106.9270503
TK Islam An Nuur Sukabumi,Kelompok Bermain,-6.9216521,106.9366781
SD Mardi Waluya,Sekolah Dasar,-6.9201313,106.9312811
